入荷管理番号,入荷管理行番号,入荷管理詳細行番号,ステータス,荷主入荷NO,入荷予定日,入荷受付日,入荷確定日,取引先ID,取引先名,出荷先ID,出荷先名,業務区分,業務区分名,商品ID,商品名,検索名称,品質区分ID,品質区分名,ブロック,ブロック略称,ロケーション,ロット,有効期限,予定数,受付数,検品数,不良内容区分ID,不良内容区分名,不良理由区分ID,不良理由区分名,作成日時,更新日時,返品理由区分ID,返品理由区分名,備考,検索名称2,バーコード,ヘッダ予備項目００１,ヘッダ予備項目００２,ヘッダ予備項目００３,ヘッダ予備項目００４,ヘッダ予備項目００５,ヘッダ予備項目００６,ヘッダ予備項目００７,ヘッダ予備項目００８,ヘッダ予備項目００９,ヘッダ予備項目０１０,明細予備項目００１,明細予備項目００２,明細予備項目００３,明細予備項目００４,明細予備項目００５,明細予備項目００６,明細予備項目００７,明細予備項目００８,明細予備項目００９,明細予備項目０１０
"AR00180000698","1","","未入荷","SIL_CIC_20251121","20251121","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100023","ココグルメ_ジビエ100g","冷凍","1","良品","","","","202704A0G6_SIL","20270406","20355","0","0","","","","","20251023194903","20251119104209","","","【便】SILチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000698","2","","未入荷","SIL_CIC_20251121","20251121","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100023","ココグルメ_ジビエ100g","冷凍","1","良品","","","","202704A0H7_SIL","20270407","20281","0","0","","","","","20251023194903","20251119104209","","","【便】SILチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000698","3","","未入荷","SIL_CIC_20251121","20251121","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100023","ココグルメ_ジビエ100g","冷凍","1","良品","","","","202704A0J8_SIL","20270408","20261","0","0","","","","","20251023194903","20251119104209","","","【便】SILチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000699","1","","未入荷","SIL_CIC_20251127preFIX","20251127","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100022","ココグルメ_フィッシュ100g","冷凍","1","良品","","","","202704B1C2_SIL","20270412","22000","0","0","","","","","20251023194903","20251118150433","","","【便】SILチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000699","2","","未入荷","SIL_CIC_20251127preFIX","20251127","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100022","ココグルメ_フィッシュ100g","冷凍","1","良品","","","","202704B1D3_SIL","20270413","22000","0","0","","","","","20251023194903","20251118150433","","","【便】SILチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000699","3","","未入荷","SIL_CIC_20251127preFIX","20251127","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100013","プチ_フィッシュ120g","冷凍","1","良品","","","","202610B1J8_SIL","20261018","3000","0","0","","","","","20251023194903","20251118150433","","","【便】SILチャーター","","4582515550530","","","","","","","","","","","","","","","","","","","",""
"AR00180000699","4","","未入荷","SIL_CIC_20251127preFIX","20251127","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100034","プチ_チキン120g","冷凍","1","良品","","","","202610C2B1_SIL","20261021","3000","0","0","","","","","20251023194903","20251118150433","","","【便】SILチャーター","","4582515550257","","","","","","","","","","","","","","","","","","","",""
"AR00180000699","5","","未入荷","SIL_CIC_20251127preFIX","20251127","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","310036","ミャオ_チキン＆サーモン35g","冷凍","1","良品","","","","202704B1G6_SIL","20270416","1500","0","0","","","","","20251023194903","20251118150433","","","【便】SILチャーター","","4582515551933","","","","","","","","","","","","","","","","","","","",""
"AR00180000724","1","","未入荷","IKD_CIC_20251121","20251121","","","IKD","池田糖化工業株式会社","0","池田糖化工業株式会社","1","通常入荷","100021","ココグルメ_ポーク100g","冷凍","1","良品","","","","202704A0J8_IKD","20270408","3600","0","0","","","","","20251028103445","20251119084353","","","【便】IKDチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000725","1","","未入荷","IKD_CIC_20251126","20251126","","","IKD","池田糖化工業株式会社","0","池田糖化工業株式会社","1","通常入荷","100021","ココグルメ_ポーク100g","冷凍","1","良品","","","","202704A0J8_IKD","20270408","2600","0","0","","","","","20251028103445","20251119084307","","","【便】IKDチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000726","1","","未入荷","IKD_CIC_20251127preFIX","20251127","","","IKD","池田糖化工業株式会社","0","池田糖化工業株式会社","1","通常入荷","100032","ケア_消化器サポート100g","冷凍","1","良品","","","","202704B1D3_IKD","20270413","3600","0","0","","","","","20251028132412","20251028132412","","","【便】IKDチャーター","","4582515551117","","","","","","","","","","","","","","","","","","","",""
"AR00180000727","1","","未入荷","IKD_CIC_20251128preFIX","20251128","","","IKD","池田糖化工業株式会社","0","池田糖化工業株式会社","1","通常入荷","100032","ケア_消化器サポート100g","冷凍","1","良品","","","","202704B1D3_IKD","20270413","2600","0","0","","","","","20251028132412","20251028132412","","","【便】IKDチャーター","","4582515551117","","","","","","","","","","","","","","","","","","","",""
"AR00180000728","1","","未入荷","IKD_CIC_20251129preFIX","20251129","","","IKD","池田糖化工業株式会社","0","池田糖化工業株式会社","1","通常入荷","100031","ケア_早期腎臓サポート100g","冷凍","1","良品","","","","202704B1E4_IKD","20270414","3600","0","0","","","","","20251028132412","20251028132412","","","【便】IKDチャーター","","4582515551100","","","","","","","","","","","","","","","","","","","",""
"AR00180000729","1","","未入荷","IKD_CIC_20251202preFIX","20251202","","","IKD","池田糖化工業株式会社","0","池田糖化工業株式会社","1","通常入荷","100031","ケア_早期腎臓サポート100g","冷凍","1","良品","","","","202704B1E4_IKD","20270414","2600","0","0","","","","","20251028132412","20251028132412","","","【便】IKDチャーター","","4582515551100","","","","","","","","","","","","","","","","","","","",""
"AR00180000742","2","","未入荷","AMT_CIS_20251121","20251121","","","0","0","0","0","1","通常入荷","100132","平飼い卵と米粉のクッキー　マヌカハニー","冷凍","1","良品","","","","","","500","0","0","","","","","20251113151521","20251119110121","","","【便】コープ便","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000742","3","","未入荷","AMT_CIS_20251121","20251121","","","0","0","0","0","1","通常入荷","100133","平飼い卵と米粉のクッキー　糀＆乳酸菌","冷凍","1","良品","","","","","","500","0","0","","","","","20251113151521","20251119110121","","","【便】コープ便","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000742","4","","未入荷","AMT_CIS_20251121","20251121","","","0","0","0","0","1","通常入荷","100134","Dadwaypet サンタスロープトイ","冷凍","1","良品","","","","","","962","0","0","","","","","20251113151521","20251119110121","","","【便】コープ便","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000742","5","","未入荷","AMT_CIS_20251121","20251121","","","0","0","0","0","1","通常入荷","100131","ココグルメXmasケーキ2025","冷凍","1","良品","","","","","20260211","240","0","0","","","","","20251113151521","20251119110121","","","【便】コープ便","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000742","6","","未入荷","AMT_CIS_20251121","20251121","","","0","0","0","0","1","通常入荷","100131","ココグルメXmasケーキ2025","冷凍","1","良品","","","","","20260212","240","0","0","","","","","20251113151521","20251119110121","","","【便】コープ便","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000742","7","","未入荷","AMT_CIS_20251121","20251121","","","0","0","0","0","1","通常入荷","100131","ココグルメXmasケーキ2025","冷凍","1","良品","","","","","20260213","270","0","0","","","","","20251113151521","20251119110121","","","【便】コープ便","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000742","8","","未入荷","AMT_CIS_20251121","20251121","","","0","0","0","0","1","通常入荷","100131","ココグルメXmasケーキ2025","冷凍","1","良品","","","","","20260214","240","0","0","","","","","20251113151521","20251119110121","","","【便】コープ便","","","","","","","","","","","","","","","","","","","","","",""
"AR00180000742","9","","未入荷","AMT_CIS_20251121","20251121","","","0","0","0","0","1","通常入荷","100131","ココグルメXmasケーキ2025","冷凍","1","良品","","","","","20260215","25","0","0","","","","","20251113151521","20251119110121","","","【便】コープ便","","","","","","","","","","","","","","","","","","","","","",""
