入荷管理番号,入荷管理行番号,入荷管理詳細行番号,ステータス,荷主入荷NO,入荷予定日,入荷受付日,入荷確定日,取引先ID,取引先名,出荷先ID,出荷先名,業務区分,業務区分名,商品ID,商品名,検索名称,品質区分ID,品質区分名,ブロック,ブロック略称,ロケーション,ロット,有効期限,予定数,受付数,検品数,不良内容区分ID,不良内容区分名,不良理由区分ID,不良理由区分名,作成日時,更新日時,返品理由区分ID,返品理由区分名,備考,検索名称2,バーコード,ヘッダ予備項目００１,ヘッダ予備項目００２,ヘッダ予備項目００３,ヘッダ予備項目００４,ヘッダ予備項目００５,ヘッダ予備項目００６,ヘッダ予備項目００７,ヘッダ予備項目００８,ヘッダ予備項目００９,ヘッダ予備項目０１０,明細予備項目００１,明細予備項目００２,明細予備項目００３,明細予備項目００４,明細予備項目００５,明細予備項目００６,明細予備項目００７,明細予備項目００８,明細予備項目００９,明細予備項目０１０
"AR00170001537","1","","未入荷","AYG(RT)_BK2_20251125","20251125","","","AYG","青柳食品株式会社","0","青柳食品株式会社","1","通常入荷","100043","レトルト_ジビエ50g","レトルト","1","良品","","","","202710B1H7_AYG","20271017","4610","0","0","","","","","20251021105128","20251120163806","","","【便】AYGチャーター","","4582515551490","","","","","","","","","","","","","","","","","","","",""
"AR00170001537","2","","未入荷","AYG(RT)_BK2_20251125","20251125","","","AYG","青柳食品株式会社","0","青柳食品株式会社","1","通常入荷","100042","レトルト_フィッシュ50g","レトルト","1","良品","","","","202710B1J8_AYG","20271018","5478","0","0","","","","","20251021105128","20251120163806","","","【便】AYGチャーター","","4582515551476","","","","","","","","","","","","","","","","","","","",""
"AR00170001537","3","","未入荷","AYG(RT)_BK2_20251125","20251125","","","AYG","青柳食品株式会社","0","青柳食品株式会社","1","通常入荷","100039","レトルト_ジビエ100g","レトルト","1","良品","","","","202710B1H7_AYG","20271017","126","0","0","","","","","20251021105128","20251120163806","","","【便】AYGチャーター","","4582515551483","","","","","","","","","","","","","","","","","","","",""
"AR00170001538","1","","未入荷","AYG(RT)_BK2_20251126preFIX","20251126","","","AYG","青柳食品株式会社","0","青柳食品株式会社","1","通常入荷","100042","レトルト_フィッシュ50g","レトルト","1","良品","","","","202710B1K9_AYG","20271019","5500","0","0","","","","","20251021105128","20251021105128","","","【便】AYGチャーター","","4582515551476","","","","","","","","","","","","","","","","","","","",""
"AR00170001539","1","","未入荷","AYG(RT)_BK2_20251127preFIX","20251127","","","AYG","青柳食品株式会社","0","青柳食品株式会社","1","通常入荷","100042","レトルト_フィッシュ50g","レトルト","1","良品","","","","202710C2A0_AYG","20271020","5500","0","0","","","","","20251021105128","20251021105128","","","【便】AYGチャーター","","4582515551476","","","","","","","","","","","","","","","","","","","",""
"AR00170001539","2","","未入荷","AYG(RT)_BK2_20251127preFIX","20251127","","","AYG","青柳食品株式会社","0","青柳食品株式会社","1","通常入荷","100043","レトルト_ジビエ50g","レトルト","1","良品","","","","202710C2B1_AYG","20271021","5000","0","0","","","","","20251021105128","20251021105128","","","【便】AYGチャーター","","4582515551490","","","","","","","","","","","","","","","","","","","",""
"AR00170001540","1","","未入荷","AYG(RT)_BK2_20251201preFIX","20251201","","","AYG","青柳食品株式会社","0","青柳食品株式会社","1","通常入荷","100043","レトルト_ジビエ50g","レトルト","1","良品","","","","202710C2C2_AYG","20271022","5000","0","0","","","","","20251021105128","20251021105128","","","【便】AYGチャーター","","4582515551490","","","","","","","","","","","","","","","","","","","",""
"AR00170001540","2","","未入荷","AYG(RT)_BK2_20251201preFIX","20251201","","","AYG","青柳食品株式会社","0","青柳食品株式会社","1","通常入荷","100041","レトルト_ポーク50g","レトルト","1","良品","","","","202710C2F5_AYG","20271025","5000","0","0","","","","","20251021105128","20251021105128","","","【便】AYGチャーター","","4582515550578","","","","","","","","","","","","","","","","","","","",""
"AR00170001541","1","","未入荷","AYG(RT)_BK2_20251202preFIX","20251202","","","AYG","青柳食品株式会社","0","青柳食品株式会社","1","通常入荷","100043","レトルト_ジビエ50g","レトルト","1","良品","","","","202710C2G6_AYG","20271026","5000","0","0","","","","","20251021105128","20251021105128","","","【便】AYGチャーター","","4582515551490","","","","","","","","","","","","","","","","","","","",""
"AR00170001542","1","","未入荷","AYG(RT)_BK2_20251203preFIX","20251203","","","AYG","青柳食品株式会社","0","青柳食品株式会社","1","通常入荷","100042","レトルト_フィッシュ50g","レトルト","1","良品","","","","202710C2H7_AYG","20271027","5500","0","0","","","","","20251021105128","20251021105128","","","【便】AYGチャーター","","4582515551476","","","","","","","","","","","","","","","","","","","",""
"AR00170001542","2","","未入荷","AYG(RT)_BK2_20251203preFIX","20251203","","","AYG","青柳食品株式会社","0","青柳食品株式会社","1","通常入荷","100042","レトルト_フィッシュ50g","レトルト","1","良品","","","","202710C2J8_AYG","20271028","5500","0","0","","","","","20251021105128","20251021105128","","","【便】AYGチャーター","","4582515551476","","","","","","","","","","","","","","","","","","","",""
"AR00170001562","1","","未入荷","TSF_BK1_20251121","20251121","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100020","ココグルメ_チキン100g","冷凍","1","良品","","","","202704A0J8_TSF","20270408","17931","0","0","","","","","20251023173217","20251120115557","","","【便】TSFチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001562","2","","未入荷","TSF_BK1_20251121","20251121","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100020","ココグルメ_チキン100g","冷凍","1","良品","","","","202704A0K9_TSF","20270409","5948","0","0","","","","","20251023173217","20251120115557","","","【便】TSFチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001562","3","","未入荷","TSF_BK1_20251121","20251121","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100020","ココグルメ_チキン100g","冷凍","1","良品","","","","202704A0H7_TSF","20270407","17685","0","0","","","","","20251023173217","20251120115557","","","【便】TSFチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001563","1","","未入荷","TSF_BK1_20251125preFIX","20251125","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100020","ココグルメ_チキン100g","冷凍","1","良品","","","","202704B1C2_TSF","20270412","22400","0","0","","","","","20251023173217","20251118114852","","","【便】TSFチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001563","2","","未入荷","TSF_BK1_20251125preFIX","20251125","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100020","ココグルメ_チキン100g","冷凍","1","良品","","","","202704B1B1_TSF","20270411","17400","0","0","","","","","20251023173217","20251118114852","","","【便】TSFチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001565","1","","未入荷","TSF(RT)_BK2_20251121","20251121","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100040","レトルト_チキン50g","レトルト","1","良品","","","","202710A0J8_TSF","20271008","4600","0","0","","","","","20251023173217","20251120155453","","","【便】TSFチャーター","","4582515550561","","","","","","","","","","","","","","","","","","","",""
"AR00170001565","2","","未入荷","TSF(RT)_BK2_20251121","20251121","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100041","レトルト_ポーク50g","レトルト","1","良品","","","","202710B1A0_TSF","20271010","7596","0","0","","","","","20251023173217","20251120155453","","","【便】TSFチャーター","","4582515550578","","","","","","","","","","","","","","","","","","","",""
"AR00170001565","3","","未入荷","TSF(RT)_BK2_20251121","20251121","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100040","レトルト_チキン50g","レトルト","1","良品","","","","202710B1B1_TSF","20271011","7309","0","0","","","","","20251023173217","20251120155453","","","【便】TSFチャーター","","4582515550561","","","","","","","","","","","","","","","","","","","",""
"AR00170001565","4","","未入荷","TSF(RT)_BK2_20251121","20251121","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100040","レトルト_チキン50g","レトルト","1","良品","","","","202710B1C2_TSF","20271012","5243","0","0","","","","","20251023173217","20251120155453","","","【便】TSFチャーター","","4582515550561","","","","","","","","","","","","","","","","","","","",""
"AR00170001565","5","","未入荷","TSF(RT)_BK2_20251121","20251121","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100040","レトルト_チキン50g","レトルト","2","Ｂ品","","","","202710B1C2_TSF","20271012","1992","0","0","","","","","20251023173217","20251120155453","","","【便】TSFチャーター","","4582515550561","","","","","","","","","","","","","","","","","","","",""
"AR00170001565","6","","未入荷","TSF(RT)_BK2_20251121","20251121","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100041","レトルト_ポーク50g","レトルト","2","Ｂ品","","","","202710B1A0_TSF","20271010","1992","0","0","","","","","20251023173217","20251120155453","","","【便】TSFチャーター","","4582515550578","","","","","","","","","","","","","","","","","","","",""
"AR00170001566","1","","未入荷","TSF(RT)_BK2_20251125preFIX","20251125","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100036","レトルト_チキン100g","レトルト","1","良品","","","","202710B1F5_TSF","20271015","5000","0","0","","","","","20251023173217","20251118174905","","","【便】TSFチャーター","","4582515550547","","","","","","","","","","","","","","","","","","","",""
"AR00170001566","2","","未入荷","TSF(RT)_BK2_20251125preFIX","20251125","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100036","レトルト_チキン100g","レトルト","2","Ｂ品","","","","202710B1H7_TSF","20271017","5000","0","0","","","","","20251023173217","20251118174905","","","【便】TSFチャーター","","4582515550547","","","","","","","","","","","","","","","","","","","",""
"AR00170001566","3","","未入荷","TSF(RT)_BK2_20251125preFIX","20251125","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100036","レトルト_チキン100g","レトルト","2","Ｂ品","","","","202710B1F5_TSF","20271015","2500","0","0","","","","","20251023173217","20251118174905","","","【便】TSFチャーター","","4582515550547","","","","","","","","","","","","","","","","","","","",""
"AR00170001573","1","","未入荷","SIL_BK1_20251121preFIX","20251121","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100023","ココグルメ_ジビエ100g","冷凍","1","良品","","","","202704A0K9_SIL","20270409","20000","0","0","","","","","20251023194903","20251028102805","","","【便】SILチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001573","2","","未入荷","SIL_BK1_20251121preFIX","20251121","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100022","ココグルメ_フィッシュ100g","冷凍","1","良品","","","","202704B1B1_SIL","20270411","22000","0","0","","","","","20251023194903","20251028102805","","","【便】SILチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001573","3","","未入荷","SIL_BK1_20251121preFIX","20251121","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100034","プチ_チキン120g","冷凍","1","良品","","","","202610B1F5_SIL","20261015","3000","0","0","","","","","20251023194903","20251028102805","","","【便】SILチャーター","","4582515550257","","","","","","","","","","","","","","","","","","","",""
"AR00170001573","4","","未入荷","SIL_BK1_20251121preFIX","20251121","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100013","プチ_フィッシュ120g","冷凍","1","良品","","","","202610B1H7_SIL","20261017","3000","0","0","","","","","20251023194903","20251028102805","","","【便】SILチャーター","","4582515550530","","","","","","","","","","","","","","","","","","","",""
"AR00170001573","5","","未入荷","SIL_BK1_20251121preFIX","20251121","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","310036","ミャオ_チキン＆サーモン35g","冷凍","1","良品","","","","202704A0K9_SIL","20270409","1500","0","0","","","","","20251023194903","20251028102805","","","【便】SILチャーター","","4582515551933","","","","","","","","","","","","","","","","","","","",""
"AR00170001574","1","","未入荷","SIL_BK1_20251127preFIX","20251127","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100023","ココグルメ_ジビエ100g","冷凍","1","良品","","","","202704A0K9_SIL","20270409","20321","0","0","","","","","20251023194903","20251118133937","","","【便】SILチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001574","2","","未入荷","SIL_BK1_20251127preFIX","20251127","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100022","ココグルメ_フィッシュ100g","冷凍","1","良品","","","","202704B1B1_SIL","20270411","22000","0","0","","","","","20251023194903","20251118133937","","","【便】SILチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001574","3","","未入荷","SIL_BK1_20251127preFIX","20251127","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100034","プチ_チキン120g","冷凍","1","良品","","","","202610B1K9_SIL","20261019","3000","0","0","","","","","20251023194903","20251118133937","","","【便】SILチャーター","","4582515550257","","","","","","","","","","","","","","","","","","","",""
"AR00170001574","4","","未入荷","SIL_BK1_20251127preFIX","20251127","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","100034","プチ_チキン120g","冷凍","1","良品","","","","202610C2A0_SIL","20261020","3000","0","0","","","","","20251023194903","20251118133937","","","【便】SILチャーター","","4582515550257","","","","","","","","","","","","","","","","","","","",""
"AR00170001574","5","","未入荷","SIL_BK1_20251127preFIX","20251127","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","310037","ミャオ_チキン35g","冷凍","1","良品","","","","202704A0K9_SIL","20270409","1500","0","0","","","","","20251023194903","20251118133937","","","【便】SILチャーター","","4582515551940","","","","","","","","","","","","","","","","","","","",""
"AR00170001574","6","","未入荷","SIL_BK1_20251127preFIX","20251127","","","SIL","株式会社シルバーライフ加須物流センター","0","株式会社シルバーライフ加須物流センター","1","通常入荷","310036","ミャオ_チキン＆サーモン35g","冷凍","1","良品","","","","202704B1G6_SIL","20270416","1500","0","0","","","","","20251023194903","20251118133937","","","【便】SILチャーター","","4582515551933","","","","","","","","","","","","","","","","","","","",""
