在庫日,倉庫ID,倉庫名,ブロックID,ブロック略称,ロケ,商品ID,バーコード,商品名,ロット,有効期限,品質区分ID,品質区分名,在庫数(引当数を含む),引当数,ロケ引当条件,ロケ業務区分,取置取引先ID,取置取引先名,棚卸状況,検索名称,検索名称２,大分類,中分類,小分類,商品予備項目００１,商品予備項目００２,商品予備項目００３,商品予備項目００４,商品予備項目００５,商品予備項目００６,商品予備項目００７,商品予備項目００８,商品予備項目００９,商品予備項目０１０,最終入荷日,最終出荷日,ブロック引当順
"20251205","7","大阪","900","000","111-111-11","790001","","オリジナルフードクリップ（常温）","***","29991231","1","良品","985404","0","指定した業態に優先して取り置く","卸","","","","レトルト","","","","","","","","","","","","","","","20250130","20250623","0"
"20251205","7","大阪","1","A","002-001-01","100020","","ココグルメ_チキン100g","202703B1F5_TSF","20270315","1","良品","1200","1200","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","003-001-01","100020","","ココグルメ_チキン100g","202703B1G6_TSF","20270316","2","Ｂ品","1800","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","003-001-01","100020","","ココグルメ_チキン100g","202703B1G6_TSF","20270316","1","良品","335","335","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","004-001-01","100020","","ココグルメ_チキン100g","202703B1H7_TSF","20270317","1","良品","14347","5028","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","004-001-01","100020","","ココグルメ_チキン100g","202703B1H7_TSF","20270317","2","Ｂ品","1900","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","005-001-01","100020","","ココグルメ_チキン100g","202703C2E4_TSF","20270324","1","良品","24552","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","006-001-01","100020","","ココグルメ_チキン100g","202703C2J8_TSF","20270328","1","良品","5932","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","007-001-01","100020","","ココグルメ_チキン100g","202704A0H7_TSF","20270407","1","良品","17685","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","008-001-01","100020","","ココグルメ_チキン100g","202704A0J8_TSF","20270408","1","良品","17931","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","009-001-01","100020","","ココグルメ_チキン100g","202704A0K9_TSF","20270409","1","良品","5948","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","010-001-01","100020","","ココグルメ_チキン100g","202704B1B1_TSF","20270411","1","良品","16869","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","011-001-01","100020","","ココグルメ_チキン100g","202704B1C2_TSF","20270412","1","良品","21732","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","012-001-01","100020","","ココグルメ_チキン100g","202704B1D3_TSF","20270413","1","良品","21976","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","013-001-01","100020","","ココグルメ_チキン100g","202704B1E4_TSF","20270414","1","良品","22186","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","014-001-01","100020","","ココグルメ_チキン100g","202704A0B1_TSF","20270401","1","良品","17063","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","1","A","015-001-01","100020","","ココグルメ_チキン100g","202704A0C2_TSF","20270402","1","良品","8184","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550592","","","","","","","","","20251128","20251204","1"
"20251205","7","大阪","2","B","003-001-01","100021","","ココグルメ_ポーク100g","202703C2H7_SIL","20270327","1","良品","700","700","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550608","","","","","","","","","20251202","20251204","2"
"20251205","7","大阪","2","B","004-001-01","100021","","ココグルメ_ポーク100g","202703C2J8_SIL","20270328","2","Ｂ品","2700","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550608","","","","","","","","","20251202","20251204","2"
"20251205","7","大阪","2","B","004-001-01","100021","","ココグルメ_ポーク100g","202703C2J8_SIL","20270328","1","良品","18437","4036","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550608","","","","","","","","","20251202","20251204","2"
"20251205","7","大阪","2","B","005-001-01","100021","","ココグルメ_ポーク100g","202704B1G6_SIL","20270416","1","良品","22361","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550608","","","","","","","","","20251202","20251204","2"
"20251205","7","大阪","3","C","001-001-01","100022","","ココグルメ_フィッシュ100g","202704B1E4_SIL","20270414","1","良品","22496","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550615","","","","","","","","","20251202","20251204","3"
"20251205","7","大阪","3","C","002-001-01","100022","","ココグルメ_フィッシュ100g","202704B1F5_SIL","20270415","1","良品","22243","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550615","","","","","","","","","20251202","20251204","3"
"20251205","7","大阪","3","C","007-001-01","100022","","ココグルメ_フィッシュ100g","202703B1B1_SIL","20270311","1","良品","4330","1618","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550615","","","","","","","","","20251202","20251204","3"
"20251205","7","大阪","3","C","007-001-01","100022","","ココグルメ_フィッシュ100g","202703B1B1_SIL","20270311","2","Ｂ品","1200","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550615","","","","","","","","","20251202","20251204","3"
"20251205","7","大阪","3","C","008-001-01","100022","","ココグルメ_フィッシュ100g","202703B1D3_SIL","20270313","1","良品","17916","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550615","","","","","","","","","20251202","20251204","3"
"20251205","7","大阪","3","C","009-001-01","100022","","ココグルメ_フィッシュ100g","202704B1B1_SIL","20270411","1","良品","22412","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550615","","","","","","","","","20251202","20251204","3"
"20251205","7","大阪","4","D","003-001-01","100023","","ココグルメ_ジビエ100g","202702C2G6_SIL","20270226","2","Ｂ品","1300","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550622","","","","","","","","","20251128","20251204","4"
"20251205","7","大阪","4","D","003-001-01","100023","","ココグルメ_ジビエ100g","202702C2G6_SIL","20270226","1","良品","1020","1020","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550622","","","","","","","","","20251128","20251204","4"
"20251205","7","大阪","4","D","004-001-01","100023","","ココグルメ_ジビエ100g","202702D2B8_SIL","20270228","2","Ｂ品","600","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550622","","","","","","","","","20251128","20251204","4"
"20251205","7","大阪","4","D","004-001-01","100023","","ココグルメ_ジビエ100g","202702D2B8_SIL","20270228","1","良品","16118","1720","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550622","","","","","","","","","20251128","20251204","4"
"20251205","7","大阪","4","D","005-001-01","100023","","ココグルメ_ジビエ100g","202703B1H7_SIL","20270317","1","良品","17032","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550622","","","","","","","","","20251128","20251204","4"
"20251205","7","大阪","4","D","006-001-01","100023","","ココグルメ_ジビエ100g","202703B1J8_SIL","20270318","1","良品","14980","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550622","","","","","","","","","20251128","20251204","4"
"20251205","7","大阪","4","D","007-001-01","100023","","ココグルメ_ジビエ100g","202704A0E4_SIL","20270404","1","良品","20118","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550622","","","","","","","","","20251128","20251204","4"
"20251205","7","大阪","4","D","008-001-01","100023","","ココグルメ_ジビエ100g","202704A0F5_SIL","20270405","1","良品","20176","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550622","","","","","","","","","20251128","20251204","4"
"20251205","7","大阪","4","D","009-001-01","100023","","ココグルメ_ジビエ100g","202704A0K9_SIL","20270409","1","良品","20312","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515550622","","","","","","","","","20251128","20251204","4"
"20251205","7","大阪","5","E","001-001-01","310034","4582515551919","ミャオ_まぐろ＆サーモン35g","202703C2F5_SIL","20270325","1","良品","1414","2","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515551919","","","","","","","","","20251117","20251204","5"
"20251205","7","大阪","5","E","005-001-01","2039","4582515550370","とりささみNatural粒","202702B1B1_OKS","20270211","1","良品","8","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","","","","","","","","","","20250919","20251202","5"
"20251205","7","大阪","6","F","001-001-01","310035","4582515551926","ミャオ_かつお＆サーモン35g","202704A0C2_SIL","20270402","1","良品","1657","2","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515551926","","","","","","","","","20251117","20251204","6"
"20251205","7","大阪","6","F","002-001-01","2040","4582515550325","まぐろ＆タラうまみUP粒","202612C2G6_OKS","20261226","1","良品","84","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","","","","","","","","","","20250922","20251126","6"
"20251205","7","大阪","6","F","003-001-01","2040","4582515550325","まぐろ＆タラうまみUP粒","202702B1C2_OKS","20270212","1","良品","50","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","","","","","","","","","","20250922","20251126","6"
"20251205","7","大阪","7","G","001-001-01","310037","4582515551940","ミャオ_チキン＆サーモン35g","202704B1G6_SIL","20270416","1","良品","1579","2","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515551940","","","","","","","","","20251128","20251204","7"
"20251205","7","大阪","7","G","003-001-01","2041","4582515550332","まぐろ＆タラうまみUPペースト","202612C2G6_OKS","20261226","1","良品","44","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","","","","","","","","","","20250806","20251201","7"
"20251205","7","大阪","8","H","001-001-01","2042","4582515550349","かつお＆サーモンNatural粒","202702B1J8_OKS","20270218","1","良品","271","36","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","","","","","","","","","","20250929","20251204","8"
"20251205","7","大阪","8","H","002-001-01","310036","4582515551933","ミャオ_チキン35g","202704A0K9_SIL","20270409","1","良品","1675","2","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515551933","","","","","","","","","20251128","20251204","8"
"20251205","7","大阪","9","I","003-001-01","2043","4582515550387","とりささみうまみUP","202702A0F5_OKS","20270205","1","良品","74","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","","","","","","","","","","20250912","20251129","9"
"20251205","7","大阪","11","K","002-001-01","2045","4582515550400","ささみ＆まぐろうまみUP粒","202702B1A0_OKS","20270210","1","良品","182","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","","","","","","","","","","20250919","20251204","11"
"20251205","7","大阪","12","L","002-001-01","2046","4582515550318","まぐろ＆タラNatural粒","202701A0D3_OKS","20270103","1","良品","19","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","","","","","","","","","","20250922","20251201","12"
"20251205","7","大阪","12","L","003-001-01","2046","4582515550318","まぐろ＆タラNatural粒","202702B1C2_OKS","20270212","1","良品","28","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","","","","","","","","","","20250922","20251201","12"
"20251205","7","大阪","13","M","002-001-01","2047","4582515550356","かつお＆サーモンうまみUP粒","202702B1G6_OKS","20270216","1","良品","326","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","","","","","","","","","","20250924","20251202","13"
"20251205","7","大阪","14","N","004-001-01","2048","4582515550363","かつお＆サーモンうまみUPペースト","202702B1K9_OKS","20270219","1","良品","188","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","","","","","","","","","","20250929","20251201","14"
"20251205","7","大阪","19","S","004-001-01","100031","4582515551100","ケア_早期腎臓サポート100g","202702B1D3_IKD","20270213","1","良品","130","100","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515551100","","","","","","","","","","20251203","19"
"20251205","7","大阪","19","S","005-001-01","100031","4582515551100","ケア_早期腎臓サポート100g","202703A0J8_IKD","20270308","1","良品","500","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515551100","","","","","","","","","","20251203","19"
"20251205","7","大阪","20","T","001-001-01","100032","4582515551117","ケア_消化器サポート100g","202702A0G6_IKD","20270206","1","良品","55","10","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515551117","","","","","","","","","","20251203","20"
"20251205","7","大阪","20","T","002-001-01","100032","4582515551117","ケア_消化器サポート100g","202702C2G6_IKD","20270226","1","良品","400","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515551117","","","","","","","","","","20251203","20"
"20251205","7","大阪","21","U","002-001-01","100033","4582515551124","ケア_皮膚・被毛ケア100g","202611A0F5_IKD","20261105","1","良品","160","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515551124","","","","","","","","","","20251203","21"
"20251205","7","大阪","21","U","003-001-01","100033","4582515551124","ケア_皮膚・被毛ケア100g","202703B1H7_IKD","20270317","1","良品","200","0","指定した業態に優先して取り置く","卸","","","","冷凍","","","","","","4582515551124","","","","","","","","","","20251203","21"
"20251205","7","大阪","961","01","001-001-01","310004","","ミャオグルメ_ピュアかつお(レトルト)","202702B1K9_TSF_mu","20270219","1","良品","628","3","指定した業態に優先して取り置く","卸","","","","レトルト","","","","","","","","","","","","","","","20251007","20251204","24"
"20251205","7","大阪","961","01","001-002-01","310003","","ミャオグルメ_ピュアまぐろ(レトルト)","202612A0F5_TSF","20261205","2","Ｂ品","480","48","指定した業態に優先して取り置く","卸","","","","レトルト","","","","","","","","","","","","","","","20251007","20251204","24"
"20251205","7","大阪","961","01","001-002-02","310001","4582515551322","レトルト_まぐろ＆タラ50g","202702C2A0_TSF_mu","20270220","1","良品","1719","3","指定した業態に優先して取り置く","卸","","","","レトルト","","","","","","","","","","","","","","","20251114","20251204","24"
"20251205","7","大阪","961","01","001-003-01","310004","","ミャオグルメ_ピュアかつお(レトルト)","202612A0H7_TSF","20261207","2","Ｂ品","600","0","指定した業態に優先して取り置く","卸","","","","レトルト","","","","","","","","","","","","","","","20251007","20251204","24"
"20251205","7","大阪","961","01","001-003-02","310001","4582515551322","レトルト_まぐろ＆タラ50g","202702D2B8_TSF","20270228","1","良品","2","0","指定した業態に優先して取り置く","卸","","","","レトルト","","","","","","","","","","","","","","","20251114","20251204","24"
"20251205","7","大阪","961","01","001-004-02","100083","4582515551452","鹿皮ガム94g","202611C2F5_MEL","20261125","1","良品","80","0","指定した業態に優先して取り置く","卸","","","","レトルト","","","","","","","","","","","","","","","20251201","20251204","24"
