商品ID,商品名,大分類,小分類,中分類
100013,プチ_フィッシュ120g,CoCoPetit,国内販売,FZ
980001,【寄付】ココ_チキン100g（マルヒ）,CoCo,寄付,FZ
980002,【寄付】ココ_ポーク100g（マルヒ）,CoCo,寄付,FZ
980003,【寄付】ココ_チキン100g（タカ商）,CoCo,寄付,FZ
980004,【寄付】ココ_ポーク100g（タカ商）,CoCo,寄付,FZ
980005,【寄付】ココ_フィッシュ100g,CoCo,寄付,FZ
980009,【寄付】ココ_ジビエ100g,CoCo,寄付,FZ
980011,【寄付】プチ_チキン120g（元の商品）,CoCoPetit,寄付,FZ
980012,【寄付】プチ_ポーク120g,CoCoPetit,寄付,FZ
100020,ココ_チキン100g,CoCo,国内販売,FZ
100021,ココ_ポーク100g,CoCo,国内販売,FZ
100022,ココ_フィッシュ100g,CoCo,国内販売,FZ
100023,ココ_ジビエ100g,CoCo,国内販売,FZ
100024,プチ_ジビエ120g,CoCoPetit,国内販売,FZ
100027,【卸】ココ_チキン100g,CoCo,国内卸売,FZ
100028,【卸】ココ_ポーク100g,CoCo,国内卸売,FZ
100029,【卸】ココ_フィッシュ100g,CoCo,国内卸売,FZ
100030,【卸】ココ_ジビエ100g,CoCo,国内卸売,FZ
980013,【寄付】ココ_チキン100g,CoCo,寄付,FZ
980014,【寄付】ココ_ポーク100g,CoCo,寄付,FZ
980015,【寄付】ココ_フィッシュ100g,CoCo,寄付,FZ
980016,【寄付】ココ_ジビエ100g,CoCo,寄付,FZ
980017,【寄付】レトルト_チキン100g（試作品）,CoCoRetort,寄付,NM
980018,【寄付】レトルト_ポーク100g（試作品）,CoCoRetort,寄付,NM
100031,ケア_早期腎臓サポート100g,CoCoCare,国内販売,FZ
100032,ケア_消化器サポート100g,CoCoCare,国内販売,FZ
100033,ケア_皮膚・被毛ケア100g,CoCoCare,国内販売,FZ
100034,プチ_チキン120g,CoCoPetit,国内販売,FZ
100035,プチ_ポーク120g,CoCoPetit,国内販売,FZ
980023,【寄付】プチ_フィッシュ120g,CoCoPetit,寄付,FZ
980024,【寄付】プチ_ジビエ120g,CoCoPetit,寄付,FZ
980025,【寄付】プチ_チキン120g,CoCoPetit,寄付,FZ
980026,【寄付】プチ_ポーク120g,CoCoPetit,寄付,FZ
100036,レトルト_チキン100g,CoCoRetort,国内販売,NM
100037,レトルト_ポーク100g,CoCoRetort,国内販売,NM
100038,レトルト_フィッシュ100g,CoCoRetort,国内販売,NM
100039,レトルト_ジビエ100g,CoCoRetort,国内販売,NM
100040,レトルト_チキン50g,CoCoRetort,国内販売,NM
100041,レトルト_ポーク50g,CoCoRetort,国内販売,NM
100042,レトルト_フィッシュ50g,CoCoRetort,国内販売,NM
100043,レトルト_ジビエ50g,CoCoRetort,国内販売,NM
980027,【寄付】レトルト_チキン100g,CoCoRetort,寄付,NM
980028,【寄付】レトルト_ポーク100g,CoCoRetort,寄付,NM
980029,【寄付】レトルト_フィッシュ100g,CoCoRetort,寄付,NM
980030,【寄付】レトルト_ジビエ100g,CoCoRetort,寄付,NM
980031,【寄付】レトルト_チキン50g,CoCoRetort,寄付,NM
980032,【寄付】レトルト_ポーク50g,CoCoRetort,寄付,NM
980033,【寄付】レトルト_フィッシュ50g,CoCoRetort,寄付,NM
980034,【寄付】レトルト_ジビエ50g,CoCoRetort,寄付,NM
100044,【イベント用】ココ_チキン100g,CoCo,国内販売,FZ
100045,【イベント用】ココ_ポーク100g,CoCo,国内販売,FZ
100046,【イベント用】ココ_フィッシュ100g,CoCo,国内販売,FZ
100047,【イベント用】ココ_ジビエ100g,CoCo,国内販売,FZ
100048,Xmasケーキ2023,CoCoOthers,国内販売,FZ
100049,【海外】ココグルメレトルトチキン100g,CoCoRetort,海外販売,NM
100050,【海外】ココグルメレトルトポーク100g,CoCoRetort,海外販売,NM
100051,【卸】レトルト_チキン100g,CoCoRetort,国内卸売,NM
100052,【卸】レトルト_ポーク100g,CoCoRetort,国内卸売,NM
100053,【卸】レトルト_フィッシュ100g,CoCoRetort,国内卸売,NM
100054,【卸】レトルト_ジビエ100g,CoCoRetort,国内卸売,NM
100055,【卸】レトルト_チキン50g,CoCoRetort,国内卸売,NM
100056,【卸】レトルト_ポーク50g,CoCoRetort,国内卸売,NM
100057,【卸】レトルト_フィッシュ50g,CoCoRetort,国内卸売,NM
100058,【卸】レトルト_ジビエ50g,CoCoRetort,国内卸売,NM
100059,【卸】プチ_チキン120g,CoCoPetit,国内卸売,FZ
100060,【卸】プチ_ポーク120g,CoCoPetit,国内卸売,FZ
100061,【卸】プチ_フィッシュ120g,CoCoPetit,国内卸売,FZ
100062,【卸】プチ_ジビエ120g,CoCoPetit,国内卸売,FZ
100063,鹿皮ガム（10本入り）,CoCoSnack,国内販売,NM
100064,鹿皮ガム（20本入り）,CoCoSnack,国内販売,NM
980035,【寄付】鹿皮ガム（10本入り）,CoCoSnack,寄付,NM
980036,【寄付】鹿皮ガム（20本入り）,CoCoSnack,寄付,NM
790001,オリジナルフードクリップ（常温）,CoCoGoods,国内販売,NM
980037,【寄付】ケア_早期腎臓サポート100g,CoCoCare,寄付,FZ
980038,【寄付】ケア_消化器サポート100g,CoCoCare,寄付,FZ
980039,【寄付】ケア_スキンケア100g,CoCoCare,寄付,FZ
100065,ココグルメ_チキン150g,CoCo,国内販売,FZ
100066,レトルト_チキン150g,CoCoRetort,国内販売,NM
100067,【卸】ケア_早期腎臓サポート100g,CoCoCare,国内卸売,FZ
100068,【卸】ケア_消化器サポート100g,CoCoCare,国内卸売,FZ
100069,【卸】ケア_スキンケア100g,CoCoCare,国内卸売,FZ
790002,オリジナルフードクリップ（冷凍）,CoCoGoods,国内販売,FZ
100070,【海外】ケア_早期腎臓サポート100g,CoCoCare,海外販売,FZ
100071,【海外】ケア_消化器サポート100g,CoCoCare,海外販売,FZ
100072,【海外】ケア_スキンケア100g,CoCoCare,海外販売,FZ
100073,【海外】ココ_チキン100g,CoCo,海外販売,FZ
100074,【海外】ココ_ポーク100g,CoCo,海外販売,FZ
100075,【海外】ココ_フィッシュ100g,CoCo,海外販売,FZ
100076,【海外】ココ_ジビエ100g,CoCo,海外販売,FZ
100077,【海外】プチ_チキン120g,CoCoPetit,海外販売,FZ
100078,【海外】プチ_ポーク120g,CoCoPetit,海外販売,FZ
100079,【海外】プチ_フィッシュ120g,CoCoPetit,海外販売,FZ
