SET_ID,セット構成名称,大分類,中分類,小分類
9053,【寄付用】マルヒフィッシュ,ココグルメ,冷凍,廃番
9057,【寄付用】プチポーク,ココグルメ,冷凍,廃番
9058,【寄付用】ジビエ,ココグルメ,冷凍,廃番
20003,お試しBOX（カツオ4袋）,ミャオグルメ,冷凍,廃番
29001,寄付マグロ＆タラ60g,ココグルメ,冷凍,廃番
29002,寄付カツオ＆サーモン60g,ココグルメ,冷凍,廃番
31001,お試しBOX(10種類セット),ミャオグルメ,冷凍,お試し
32000,とりささみ(ナチュラル・粒):12袋,ミャオグルメ,冷凍,通販共通
32001,とりささみ(ナチュラル):6袋／とりささみ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32002,とりささみ(ナチュラル):6袋／まぐろ&タラ(ナチュラル):6袋,ミャオグルメ,冷凍,通販共通
32003,とりささみ(ナチュラル):6袋／まぐろ&タラ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32004,とりささみ(ナチュラル):6袋／まぐろ&タラ(うまみUP・ペースト):6袋,ミャオグルメ,冷凍,通販共通
32005,とりささみ(ナチュラル):6袋／かつお&サーモン(ナチュラル):6袋,ミャオグルメ,冷凍,通販共通
32006,とりささみ(ナチュラル):6袋／かつお&サーモン(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32007,とりささみ(ﾅﾁｭﾗﾙ):6袋／かつお&ｻｰﾓﾝ(うまみUP・ﾍﾟｰｽﾄ):6袋,ミャオグルメ,冷凍,通販共通
32008,とりささみ(ナチュラル):6袋／ささみ&まぐろ(ナチュラル):6袋,ミャオグルメ,冷凍,通販共通
32009,とりささみ(ナチュラル):6袋／ささみ&まぐろ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32011,とりささみ(うまみUP):12袋,ミャオグルメ,冷凍,通販共通
32012,とりささみ(うまみUP):6袋／まぐろ&タラ(ナチュラル):6袋,ミャオグルメ,冷凍,通販共通
32013,とりささみ(うまみUP):6袋／まぐろ&タラ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32014,とりささみ(うまみUP):6袋／まぐろ&タラ(うまみUP・ペースト):6袋,ミャオグルメ,冷凍,通販共通
32015,とりささみ(うまみUP):6袋／かつお&サーモン(ナチュラル):6袋,ミャオグルメ,冷凍,通販共通
32016,とりささみ(うまみUP):6袋／かつお&サーモン(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32017,とりささみ(うまみUP):6袋／かつお&サーモン(うまみUP・ペースト):6袋,ミャオグルメ,冷凍,通販共通
32018,とりささみ(うまみUP):6袋／ささみ&まぐろ(ナチュラル):6袋,ミャオグルメ,冷凍,通販共通
32019,とりささみ(うまみUP):6袋／ささみ&まぐろ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32022,まぐろ&タラ(ナチュラル):12袋,ミャオグルメ,冷凍,通販共通
32023,まぐろ&タラ(ナチュラル):6袋／まぐろ&タラ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32024,まぐろ&タラ(ナチュラル):6袋／まぐろ&タラ(うまみUP・ペースト):6袋,ミャオグルメ,冷凍,通販共通
32025,まぐろ&タラ(ナチュラル):6袋／かつお&サーモン(ナチュラル):6袋,ミャオグルメ,冷凍,通販共通
32026,まぐろ&タラ(ナチュラル):6袋／かつお&サーモン(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32027,まぐろ&ﾀﾗ(ﾅﾁｭﾗﾙ):6袋／かつお&ｻｰﾓﾝ(うまみUP・ﾍﾟｰｽﾄ):6袋,ミャオグルメ,冷凍,通販共通
32028,まぐろ&タラ(ナチュラル):6袋／ささみ&まぐろ(ナチュラル):6袋,ミャオグルメ,冷凍,通販共通
32029,まぐろ&タラ(ナチュラル):6袋／ささみ&まぐろ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32033,まぐろ&タラ(うまみUP):12袋,ミャオグルメ,冷凍,通販共通
32034,まぐろ&タラ(うまみUP):6袋／まぐろ&タラ(うまみUP・ペースト):6袋,ミャオグルメ,冷凍,通販共通
32035,まぐろ&タラ(うまみUP):6袋／かつお&サーモン(ナチュラル):6袋,ミャオグルメ,冷凍,通販共通
32036,まぐろ&タラ(うまみUP):6袋／かつお&サーモン(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32037,まぐろ&ﾀﾗ(うまみUP):6袋／かつお&ｻｰﾓﾝ(うまみUP・ﾍﾟｰｽﾄ):6袋,ミャオグルメ,冷凍,通販共通
32038,まぐろ&タラ(うまみUP):6袋／ささみ&まぐろ(ナチュラル):6袋,ミャオグルメ,冷凍,通販共通
32039,まぐろ&タラ(うまみUP):6袋／ささみ&まぐろ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32044,まぐろ&タラ(うまみUP・ペースト):12袋,ミャオグルメ,冷凍,通販共通
32045,まぐろ&ﾀﾗ(うまみUP・ﾍﾟｰｽﾄ):6袋／かつお&ｻｰﾓﾝ(ﾅﾁｭﾗﾙ):6袋,ミャオグルメ,冷凍,通販共通
32046,まぐろ&ﾀﾗ(うまみUP・ﾍﾟｰｽﾄ):6袋／かつお&ｻｰﾓﾝ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32047,まぐろ&ﾀﾗ(うまみUP・ﾍﾟｰｽﾄ):6袋／かつお&ｻｰﾓﾝ(うまみUP・ﾍﾟｰｽﾄ):6袋,ミャオグルメ,冷凍,通販共通
32048,まぐろ&ﾀﾗ(うまみUP・ﾍﾟｰｽﾄ):6袋／ささみ&まぐろ(ﾅﾁｭﾗﾙ):6袋,ミャオグルメ,冷凍,通販共通
32049,まぐろ&タラ(うまみUP・ペースト):6袋／ささみ&まぐろ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32055,かつお&サーモン(ナチュラル):12袋,ミャオグルメ,冷凍,通販共通
32056,かつお&ｻｰﾓﾝ(ﾅﾁｭﾗﾙ):6袋／かつお&ｻｰﾓﾝ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32057,かつお&ｻｰﾓﾝ(ﾅﾁｭﾗﾙ):6袋／かつお&ｻｰﾓﾝ(うまみUP・ﾍﾟｰｽﾄ):6袋,ミャオグルメ,冷凍,通販共通
32058,かつお&ｻｰﾓﾝ(ﾅﾁｭﾗﾙ):6袋／ささみ&まぐろ(ﾅﾁｭﾗﾙ):6袋,ミャオグルメ,冷凍,通販共通
32059,かつお&サーモン(ナチュラル):6袋／ささみ&まぐろ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32066,かつお&サーモン(うまみUP):12袋,ミャオグルメ,冷凍,通販共通
32067,かつお&ｻｰﾓﾝ(うまみUP):6袋／かつお&ｻｰﾓﾝ(うまみUP・ﾍﾟｰｽﾄ):6袋,ミャオグルメ,冷凍,通販共通
32068,かつお&サーモン(うまみUP):6袋／ささみ&まぐろ(ナチュラル):6袋,ミャオグルメ,冷凍,通販共通
32069,かつお&サーモン(うまみUP):6袋／ささみ&まぐろ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32077,かつお&サーモン(うまみUP・ペースト):12袋,ミャオグルメ,冷凍,通販共通
32078,かつお&ｻｰﾓﾝ(うまみUP・ﾍﾟｰｽﾄ):6袋／ささみ&まぐろ(ﾅﾁｭﾗﾙ):6袋,ミャオグルメ,冷凍,通販共通
32079,かつお&ｻｰﾓﾝ(うまみUP・ﾍﾟｰｽﾄ):6袋／ささみ&まぐろ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32088,ささみ&まぐろ(ナチュラル):12袋,ミャオグルメ,冷凍,通販共通
32089,ささみ&まぐろ(ナチュラル):6袋／ささみ&まぐろ(うまみUP):6袋,ミャオグルメ,冷凍,通販共通
32099,ささみ&まぐろ(うまみUP):12袋,ミャオグルメ,冷凍,通販共通
1991218,テスト,,,
22000001,ミャオ・ピュア・お試しセット(まぐろ2＋かつお2),ミャオグルメ,冷凍,お試し
22000002,ミャオ・ピュア・まぐろ12袋,ミャオグルメ,冷凍,通販共通
22000003,ミャオ・ピュア・かつお12袋,ミャオグルメ,冷凍,通販共通
22000004,ミャオ・ピュア・まぐろ6袋＋かつお6袋,ミャオグルメ,冷凍,通販共通
23000001,ミャオレトルト・お試しセット(4種1袋ずつ),ミャオレトルト,レトルト,お試し
23000002,ミャオレトルト・バラエティ(4種3袋ずつ),ミャオレトルト,レトルト,通販共通
23000003,ミャオレトルト・まぐろ＆タラ12袋,ミャオレトルト,レトルト,通販共通
23000004,ミャオレトルト・かつお＆サーモン12袋,ミャオレトルト,レトルト,通販共通
23000005,ミャオレトルト・まぐろ12袋,ミャオレトルト,レトルト,通販共通
23000006,ミャオレトルト・かつお12袋,ミャオレトルト,レトルト,通販共通
23000007,ミャオレトルト・まぐろタラ6袋＋かつおサーモン6袋,ミャオレトルト,レトルト,通販共通
23000008,ミャオレトルト・まぐろ6袋＋かつお6袋,ミャオレトルト,レトルト,通販共通
23000009,【FBA】ミャオレトルト_まぐろ&タラ50g2袋,ミャオレトルト,レトルト,FBA
23000010,【FBA】ミャオレトルト_まぐろ&タラ50g4袋,ミャオレトルト,レトルト,FBA
23000011,【FBA】ミャオレトルト_かつお&サーモン50g2袋,ミャオレトルト,レトルト,FBA
23000012,【FBA】ミャオレトルト_かつお&サーモン50g4袋,ミャオレトルト,レトルト,FBA
23000013,【FBA】ミャオピュア_レトルト_まぐろ50g2袋,ミャオレトルト,レトルト,FBA
23000014,【FBA】ミャオピュア_レトルト_まぐろ50g4袋,ミャオレトルト,レトルト,FBA
23000015,【FBA】ミャオピュア_レトルト_かつお50g2袋,ミャオレトルト,レトルト,FBA
23000016,【FBA】ミャオピュア_レトルト_かつお50g4袋,ミャオレトルト,レトルト,FBA
23000017,【楽天】ミャオレトルト_まぐろ&タラ50g2袋,ミャオレトルト,レトルト,モール
23000018,【楽天】ミャオレトルト_まぐろ&タラ50g4袋,ミャオレトルト,レトルト,モール
23000019,【楽天】ミャオレトルト_かつお&サーモン50g2袋,ミャオレトルト,レトルト,モール
23000020,【楽天】ミャオレトルト_かつお&サーモン50g4袋,ミャオレトルト,レトルト,モール
23000021,【楽天】ミャオピュア_レトルト_まぐろ50g2袋,ミャオレトルト,レトルト,モール
23000022,【楽天】ミャオピュア_レトルト_まぐろ50g4袋,ミャオレトルト,レトルト,モール
23000023,【楽天】ミャオピュア_レトルト_かつお50g2袋,ミャオレトルト,レトルト,モール
23000024,【楽天】ミャオピュア_レトルト_かつお50g4袋,ミャオレトルト,レトルト,モール
23000025,にゃっち_お試し(チキン7・まぐろ7),ミャオスナック,レトルト,お試し
23000026,にゃっち_2種類セット(チキン15・まぐろ15),ミャオスナック,レトルト,通販共通
23000027,にゃっち_1種類セット チキン(チキン30),ミャオスナック,レトルト,通販共通
23000028,にゃっち_1種類セット まぐろ(まぐろ30),ミャオスナック,レトルト,通販共通
23000029,【FBA】にゃっち(チキン＆まぐろ)2袋,ミャオスナック,レトルト,FBA
23000030,【FBA】にゃっち(チキン)2袋,ミャオスナック,レトルト,FBA
23000031,【FBA】にゃっち(まぐろ)2袋,ミャオスナック,レトルト,FBA
23000032,【FBA】にゃっち(チキン＆まぐろ)4袋,ミャオスナック,レトルト,FBA
23000033,【FBA】にゃっち(チキン)4袋,ミャオスナック,レトルト,FBA
23000034,【FBA】にゃっち(まぐろ)4袋,ミャオスナック,レトルト,FBA
23000035,【FBA】にゃっち(チキン＆まぐろ)8袋,ミャオスナック,レトルト,FBA
23000036,【FBA】にゃっち(チキン)8袋,ミャオスナック,レトルト,FBA
23000037,【FBA】にゃっち(まぐろ)8袋,ミャオスナック,レトルト,FBA
23000044,にゃっち_2種類セット(おまけ用)(チキン1・まぐろ1),ミャオスナック,レトルト,施策用
23000045,【楽天】にゃっち(チキン＆まぐろ)4袋,ミャオスナック,レトルト,楽天用
23000046,【楽天】にゃっち(チキン)4袋,ミャオスナック,レトルト,楽天用
23000047,【楽天】にゃっち(まぐろ)4袋,ミャオスナック,レトルト,楽天用
23000048,【楽天】にゃっち(チキン＆まぐろ)8袋,ミャオスナック,レトルト,楽天用
23000049,【楽天】にゃっち(チキン)8袋,ミャオスナック,レトルト,楽天用
23000050,【楽天】にゃっち(まぐろ)8袋,ミャオスナック,レトルト,楽天用
23000051,【楽天】にゃっち(チキン＆まぐろ)2袋,ミャオスナック,レトルト,楽天用
23000052,【楽天】にゃっち(チキン)2袋,ミャオスナック,レトルト,楽天用
23000053,【楽天】にゃっち(まぐろ)2袋,ミャオスナック,レトルト,楽天用
23000054,【Yahoo!】にゃっち(チキン＆まぐろ)4袋,ミャオスナック,レトルト,Yahoo用
23000055,【Yahoo!】にゃっち(まぐろ)4袋,ミャオスナック,レトルト,Yahoo用
23000056,【Yahoo!】にゃっち(チキン)4袋,ミャオスナック,レトルト,Yahoo用
23000057,【Yahoo!】にゃっち(チキン＆まぐろ)8袋,ミャオスナック,レトルト,Yahoo用
23000058,【Yahoo!】にゃっち(チキン)8袋,ミャオスナック,レトルト,Yahoo用
23000059,【Yahoo!】にゃっち(まぐろ)8袋,ミャオスナック,レトルト,Yahoo用
23000060,【Yahoo!】にゃっち(チキン＆まぐろ)2袋,ミャオスナック,レトルト,Yahoo用
