倉庫ID,業務区分ID,商品ID,month_code,合計出荷数
7,4,100013,2408,10
7,4,100013,2507,325
7,4,100013,2508,440
7,4,100013,2509,235
7,4,100020,2405,2
7,4,100020,2406,24
7,4,100020,2408,1
7,4,100020,2409,812
7,4,100020,2410,5
7,4,100020,2412,1
7,4,100020,2504,39
7,4,100020,2505,294
7,4,100020,2506,6762
7,4,100020,2507,7660
7,4,100020,2508,11490
7,4,100020,2509,5735
7,4,100021,2402,16
7,4,100021,2405,2
7,4,100021,2406,21
7,4,100021,2408,81
7,4,100021,2409,622
7,4,100021,2410,15
7,4,100021,2412,1
7,4,100021,2504,21
7,4,100021,2505,275
7,4,100021,2506,4276
7,4,100021,2507,5894
7,4,100021,2508,7199
7,4,100021,2509,3636
7,4,100022,2405,2
7,4,100022,2406,9
7,4,100022,2408,1
7,4,100022,2409,654
7,4,100022,2410,5
7,4,100022,2412,1
7,4,100022,2501,100
7,4,100022,2503,8
7,4,100022,2504,19
7,4,100022,2505,160
7,4,100022,2506,2256
7,4,100022,2507,2994
7,4,100022,2508,3738
7,4,100022,2509,2025
7,4,100023,2405,2
7,4,100023,2406,25
7,4,100023,2407,5
7,4,100023,2408,1
7,4,100023,2409,824
7,4,100023,2410,15
7,4,100023,2412,1
7,4,100023,2501,150
7,4,100023,2503,8
7,4,100023,2504,24
7,4,100023,2505,163
7,4,100023,2506,2451
7,4,100023,2507,3424
7,4,100023,2508,5079
7,4,100023,2509,2335
7,4,100024,2408,10
7,4,100024,2507,955
7,4,100024,2508,980
7,4,100024,2509,795
7,4,100027,2401,6246
7,4,100027,2402,3520
7,4,100027,2403,3225
7,4,100027,2404,6110
7,4,100027,2405,6115
7,4,100027,2406,6745
7,4,100027,2407,9480
7,4,100027,2408,5650
7,4,100027,2409,6610
7,4,100027,2410,7505
7,4,100027,2411,11645
7,4,100027,2412,5775
7,4,100027,2501,4155
7,4,100027,2502,5560
7,4,100027,2503,9090
7,4,100027,2504,15645
7,4,100027,2505,3635
7,4,100028,2401,2131
7,4,100028,2402,1975
7,4,100028,2403,3135
7,4,100028,2404,3855
7,4,100028,2405,3005
7,4,100028,2406,5570
7,4,100028,2407,5395
7,4,100028,2408,3730
7,4,100028,2409,4330
7,4,100028,2410,4300
7,4,100028,2411,9625
7,4,100028,2412,4280
7,4,100028,2501,2820
7,4,100028,2502,3460
7,4,100028,2503,4390
7,4,100028,2504,10205
7,4,100028,2505,2420
7,4,100029,2401,696
7,4,100029,2402,655
7,4,100029,2403,970
7,4,100029,2404,2040
7,4,100029,2405,1710
7,4,100029,2406,2220
7,4,100029,2407,3965
7,4,100029,2408,1570
7,4,100029,2409,2850
7,4,100029,2410,2305
7,4,100029,2411,3570
7,4,100029,2412,2520
7,4,100029,2501,1400
7,4,100029,2502,1495
7,4,100029,2503,3015
7,4,100029,2504,4560
7,4,100029,2505,1335
7,4,100030,2401,1261
7,4,100030,2402,915
7,4,100030,2403,4175
7,4,100030,2404,2305
7,4,100030,2405,1845
7,4,100030,2406,4385
7,4,100030,2407,3715
7,4,100030,2408,2735
7,4,100030,2409,4035
7,4,100030,2410,3720
7,4,100030,2411,5765
7,4,100030,2412,2440
7,4,100030,2501,1710
7,4,100030,2502,3260
7,4,100030,2503,2545
7,4,100030,2504,6400
7,4,100030,2505,1570
7,4,100031,2507,645
7,4,100031,2508,755
7,4,100031,2509,400
7,4,100032,2507,555
7,4,100032,2508,445
7,4,100032,2509,460
7,4,100033,2507,115
7,4,100033,2508,230
7,4,100033,2509,105
7,4,100034,2408,10
7,4,100034,2503,9
7,4,100034,2506,400
7,4,100034,2507,3515
7,4,100034,2508,4430
7,4,100034,2509,1745
7,4,100035,2408,10
7,4,100035,2411,1
7,4,100035,2501,7
7,4,100035,2503,9
7,4,100035,2507,2385
7,4,100035,2508,3695
7,4,100035,2509,1685
7,4,100036,2401,340
7,4,100036,2402,512
7,4,100036,2403,102
7,4,100036,2404,1462
7,4,100036,2405,1
7,4,100036,2406,6
7,4,100036,2407,211
7,4,100036,2408,112
7,4,100036,2409,7
7,4,100036,2410,106
7,4,100036,2411,4
7,4,100036,2412,22
7,4,100036,2501,74
7,4,100036,2502,98
7,4,100036,2503,6
7,4,100036,2504,50
7,4,100036,2508,3
7,4,100037,2401,304
7,4,100037,2402,440
7,4,100037,2403,102
7,4,100037,2404,1062
7,4,100037,2405,1
7,4,100037,2406,6
7,4,100037,2407,211
7,4,100037,2408,108
7,4,100037,2409,207
7,4,100037,2410,106
7,4,100037,2411,8
7,4,100037,2412,16
7,4,100037,2501,46
7,4,100037,2502,42
7,4,100037,2504,41
7,4,100038,2412,7
7,4,100038,2501,67
7,4,100038,2502,31
7,4,100038,2503,14
7,4,100038,2505,4
7,4,100038,2507,17
7,4,100038,2508,24
7,4,100039,2412,7
7,4,100039,2501,67
7,4,100039,2502,56
7,4,100039,2503,16
7,4,100039,2505,2
7,4,100039,2507,17
7,4,100039,2508,34
7,4,100040,2401,1322
7,4,100040,2402,1488
7,4,100040,2403,42
7,4,100040,2404,30
7,4,100040,2405,23
7,4,100040,2406,152
7,4,100040,2407,1001
7,4,100040,2408,45
7,4,100040,2409,10039
7,4,100040,2410,6
7,4,100040,2501,4
7,4,100040,2502,2
7,4,100040,2506,2
7,4,100041,2401,1196
7,4,100041,2402,888
7,4,100041,2403,42
7,4,100041,2404,30
7,4,100041,2405,23
7,4,100041,2406,131
7,4,100041,2407,1001
7,4,100041,2408,45
7,4,100041,2409,39
7,4,100041,2410,6
7,4,100041,2501,7
7,4,100041,2502,2
7,4,100041,2506,2
7,4,100041,2507,12
7,4,100042,2412,24
7,4,100042,2501,36
7,4,100042,2502,11
7,4,100042,2503,6
7,4,100042,2505,2
7,4,100042,2506,4
7,4,100042,2507,17
7,4,100042,2508,27
7,4,100042,2509,12
7,4,100043,2412,24
7,4,100043,2501,53
7,4,100043,2502,11
7,4,100043,2503,4
7,4,100043,2504,10
7,4,100043,2505,2
7,4,100043,2506,3
7,4,100043,2507,17
7,4,100043,2508,24
7,4,100043,2509,12
7,4,100044,2410,56
7,4,100044,2411,20
7,4,100044,2412,21
7,4,100045,2410,56
7,4,100045,2411,20
7,4,100045,2412,24
7,4,100046,2410,56
7,4,100046,2411,20
7,4,100046,2503,24
7,4,100047,2410,56
7,4,100047,2411,20
7,4,100047,2503,24
7,4,100049,2408,500
7,4,100049,2409,800
7,4,100049,2410,2900
7,4,100049,2411,1248
7,4,100049,2412,1720
7,4,100049,2501,1604
7,4,100049,2502,1325
7,4,100049,2503,1966
7,4,100049,2504,8240
7,4,100049,2505,541
7,4,100049,2506,3600
7,4,100049,2508,6300
7,4,100050,2408,400
7,4,100050,2409,800
7,4,100050,2410,2400
7,4,100050,2411,1204
7,4,100050,2412,1355
7,4,100050,2501,1360
7,4,100050,2502,1285
7,4,100050,2503,1990
7,4,100050,2504,8144
7,4,100050,2505,476
7,4,100050,2506,3600
7,4,100050,2508,4800
7,4,100051,2403,864
7,4,100051,2404,1752
7,4,100051,2405,540
7,4,100051,2406,624
7,4,100051,2407,1212
7,4,100051,2408,1728
7,4,100051,2409,1032
7,4,100051,2410,1236
7,4,100051,2411,1488
7,4,100051,2412,1896
7,4,100051,2501,1860
7,4,100051,2502,1068
7,4,100051,2503,2304
7,4,100051,2504,1944
7,4,100051,2505,2232
7,4,100051,2506,1716
7,4,100051,2507,2508
7,4,100051,2508,2148
7,4,100051,2509,1440
7,4,100052,2403,852
7,4,100052,2404,1320
7,4,100052,2405,396
7,4,100052,2406,456
7,4,100052,2407,648
7,4,100052,2408,1200
7,4,100052,2409,924
7,4,100052,2410,828
7,4,100052,2411,1152
7,4,100052,2412,1224
7,4,100052,2501,1308
7,4,100052,2502,612
7,4,100052,2503,2076
7,4,100052,2504,1260
7,4,100052,2505,1332
7,4,100052,2506,1524
7,4,100052,2507,1884
7,4,100052,2508,1522
7,4,100052,2509,1344
7,4,100053,2501,348
7,4,100053,2502,60
7,4,100053,2503,2676
7,4,100053,2504,1296
7,4,100053,2505,552
7,4,100053,2506,852
7,4,100053,2507,984
7,4,100053,2508,288
7,4,100053,2509,432
7,4,100054,2501,348
7,4,100054,2502,24
7,4,100054,2503,2664
7,4,100054,2504,624
7,4,100054,2505,1104
7,4,100054,2506,948
7,4,100054,2507,1308
7,4,100054,2508,696
7,4,100054,2509,540
7,4,100055,2403,3396
7,4,100055,2404,3912
7,4,100055,2405,2904
7,4,100055,2406,2736
7,4,100055,2407,5472
7,4,100055,2408,5436
7,4,100055,2409,5484
7,4,100055,2410,5064
7,4,100055,2411,5652
7,4,100055,2412,6024
7,4,100055,2501,4500
7,4,100055,2502,4920
7,4,100055,2503,6132
7,4,100055,2504,8052
7,4,100055,2505,6048
7,4,100055,2506,5028
7,4,100055,2507,7932
7,4,100055,2508,6576
7,4,100055,2509,5640
7,4,100056,2403,3132
7,4,100056,2404,3072
7,4,100056,2405,2400
7,4,100056,2406,2148
7,4,100056,2407,3564
7,4,100056,2408,4608
7,4,100056,2409,3960
7,4,100056,2410,4320
7,4,100056,2411,4248
7,4,100056,2412,4920
7,4,100056,2501,3852
7,4,100056,2502,4188
7,4,100056,2503,5016
7,4,100056,2504,5652
7,4,100056,2505,4968
7,4,100056,2506,3720
7,4,100056,2507,5640
7,4,100056,2508,4164
7,4,100056,2509,3204
7,4,100057,2501,240
7,4,100057,2502,120
7,4,100057,2503,4800
7,4,100057,2504,4332
7,4,100057,2505,2976
7,4,100057,2506,2208
7,4,100057,2507,4416
7,4,100057,2508,2220
7,4,100057,2509,1956
7,4,100058,2501,264
7,4,100058,2502,120
7,4,100058,2503,4740
7,4,100058,2504,4284
7,4,100058,2505,2940
7,4,100058,2506,2472
7,4,100058,2507,4248
7,4,100058,2508,2784
7,4,100058,2509,1680
7,4,100059,2403,1200
7,4,100059,2404,800
7,4,100059,2405,1200
7,4,100059,2406,1700
7,4,100059,2407,1855
7,4,100059,2408,2090
7,4,100059,2409,2225
7,4,100059,2410,2045
7,4,100059,2411,2845
7,4,100059,2412,1055
7,4,100059,2501,1330
7,4,100059,2502,1770
7,4,100059,2503,2545
7,4,100059,2504,3940
7,4,100059,2505,2200
7,4,100059,2506,2510
7,4,100060,2403,1200
7,4,100060,2404,500
7,4,100060,2405,900
7,4,100060,2406,800
7,4,100060,2407,1850
7,4,100060,2408,1080
7,4,100060,2409,1200
7,4,100060,2410,1040
7,4,100060,2411,1640
7,4,100060,2412,660
7,4,100060,2501,1590
7,4,100060,2502,625
7,4,100060,2503,1910
7,4,100060,2504,3070
7,4,100060,2505,1340
7,4,100060,2506,1865
7,4,100061,2407,55
7,4,100061,2408,60
7,4,100061,2409,200
7,4,100061,2410,20
7,4,100061,2411,225
7,4,100061,2412,35
7,4,100061,2501,450
7,4,100061,2502,165
7,4,100061,2503,105
7,4,100061,2504,535
7,4,100061,2505,230
7,4,100061,2506,365
7,4,100062,2403,500
7,4,100062,2404,200
7,4,100062,2405,400
7,4,100062,2406,100
7,4,100062,2407,655
7,4,100062,2408,250
7,4,100062,2409,605
7,4,100062,2410,235
7,4,100062,2411,350
7,4,100062,2412,50
7,4,100062,2501,725
7,4,100062,2502,345
7,4,100062,2503,430
7,4,100062,2504,1145
7,4,100062,2505,340
7,4,100062,2506,535
7,4,100063,2406,1
7,4,100067,2407,100
7,4,100067,2408,205
7,4,100067,2409,150
7,4,100067,2410,40
7,4,100067,2411,385
7,4,100067,2412,420
7,4,100067,2501,555
7,4,100067,2502,295
7,4,100067,2503,630
7,4,100067,2504,1050
7,4,100067,2505,320
7,4,100067,2506,680
7,4,100068,2407,105
7,4,100068,2408,155
7,4,100068,2409,115
7,4,100068,2410,45
7,4,100068,2411,280
7,4,100068,2412,300
7,4,100068,2501,420
7,4,100068,2502,385
7,4,100068,2503,405
7,4,100068,2504,935
7,4,100068,2505,700
7,4,100068,2506,230
7,4,100069,2407,55
7,4,100069,2408,140
7,4,100069,2409,110
7,4,100069,2410,30
7,4,100069,2411,255
7,4,100069,2412,150
7,4,100069,2501,320
7,4,100069,2502,15
7,4,100069,2503,210
7,4,100069,2504,550
7,4,100069,2505,30
7,4,100069,2506,340
7,4,100071,2408,300
7,4,100073,2501,400
7,4,100073,2504,1800
7,4,100073,2506,3600
7,4,100073,2508,3600
7,4,100074,2501,300
7,4,100074,2504,1800
7,4,100074,2506,3600
7,4,100074,2508,3600
7,4,100075,2408,300
7,4,100075,2501,100
7,4,100075,2504,1800
7,4,100075,2506,3600
7,4,100075,2508,3600
7,4,100076,2501,200
7,4,100076,2504,1800
7,4,100076,2506,3600
7,4,100076,2508,3600
7,4,100079,2408,300
7,4,100081,2409,200
7,4,100081,2412,6
7,4,100081,2501,6
7,4,100081,2502,6
7,4,100081,2503,8
7,4,100081,2504,30
7,4,100081,2505,244
7,4,100082,2409,200
7,4,100082,2412,6
7,4,100082,2501,6
7,4,100082,2502,6
7,4,100082,2503,8
7,4,100082,2504,38
7,4,100082,2505,236
7,4,100092,2412,53
7,4,100092,2501,52
7,4,100092,2503,43
7,4,100092,2504,55
7,4,100093,2412,53
7,4,100093,2501,52
7,4,100093,2503,43
7,4,100093,2504,34
7,4,100094,2412,66
7,4,100094,2501,209
7,4,100094,2503,66
7,4,100094,2504,56
7,4,100095,2412,63
7,4,100095,2501,202
7,4,100095,2503,62
7,4,100095,2504,18
7,4,100098,2412,790
7,4,100098,2501,480
7,4,100098,2502,677
7,4,100098,2503,1860
7,4,100098,2504,9498
7,4,100098,2505,232
7,4,100098,2506,3600
7,4,100098,2508,4300
7,4,100099,2412,806
7,4,100099,2501,542
7,4,100099,2502,925
7,4,100099,2503,2104
7,4,100099,2504,9674
7,4,100099,2505,215
7,4,100099,2506,3600
7,4,100099,2508,6200
7,4,100100,2502,15
7,4,100100,2503,1
7,4,100100,2504,12
7,4,100100,2505,237
7,4,100101,2502,15
7,4,100101,2503,1
7,4,100101,2504,4
7,4,100101,2505,235
7,4,100107,2505,30
7,4,100109,2509,5
7,4,100110,2509,5
7,4,100114,2504,3000
7,4,300015,2406,30
7,4,300015,2408,110
7,4,300015,2409,100
7,4,300015,2412,100
7,4,300015,2501,10
7,4,300015,2502,35
7,4,300015,2503,30
7,4,300015,2505,5
7,4,300016,2406,30
7,4,300016,2408,110
7,4,300016,2409,100
7,4,300016,2412,100
7,4,300016,2501,10
7,4,300016,2502,35
7,4,300016,2503,30
7,4,300016,2505,5
7,4,310001,2405,200
7,4,310001,2406,7
7,4,310001,2408,144
7,4,310001,2409,5
7,4,310001,2410,5
7,4,310001,2411,3
7,4,310001,2501,3
7,4,310001,2502,2
7,4,310001,2503,22
7,4,310001,2506,1
7,4,310001,2507,13
7,4,310001,2508,216
7,4,310001,2509,96
7,4,310002,2405,200
7,4,310002,2406,7
7,4,310002,2408,144
7,4,310002,2409,5
7,4,310002,2410,5
7,4,310002,2411,3
7,4,310002,2501,3
7,4,310002,2502,2
7,4,310002,2506,1
7,4,310002,2507,73
7,4,310002,2508,108
7,4,310002,2509,96
7,4,310003,2405,200
7,4,310003,2406,7
7,4,310003,2408,144
7,4,310003,2409,21
7,4,310003,2410,2
7,4,310003,2411,3
7,4,310003,2501,3
7,4,310003,2502,2
7,4,310003,2506,1
7,4,310003,2507,29
7,4,310003,2508,108
7,4,310003,2509,96
7,4,310004,2405,200
7,4,310004,2406,7
7,4,310004,2408,144
7,4,310004,2409,19
7,4,310004,2410,2
7,4,310004,2411,3
7,4,310004,2501,3
7,4,310004,2502,2
7,4,310004,2506,3
7,4,310004,2507,27
7,4,310004,2508,60
7,4,310004,2509,96
7,4,310005,2406,48
7,4,310005,2409,96
7,4,310005,2410,240
7,4,310005,2411,240
7,4,310005,2412,48
7,4,310005,2501,72
7,4,310005,2502,48
